0.496706499626274,Percent of Students who are Economically Disadvantaged
0.098869315622038,Percent of Males over 16 that are Divorced
0.072886257064667,Percent of Population with Scotch-Irish Ancestry
0.055703662209935,Percent of Population Aged between 35 and 44 years
0.035950129624243,Percent of Multi-Racial Non-Hispanic Students
0.032259736655846,Percent of Students with High Needs
0.02727026216426,Number of Students Enrolled in Grade 5
0.021846658906036,Percent of Males over 16 that are Widowed
0.016910149806826,Percent of Population over 25 whose highest level of education is a Graduate or Professional Degree
0.016859045719032,School Accountability and Assistance Level
