Feature,Tuned Decision Tree,Tuned Random Forest
Percent of Students who are Economically Disadvantaged,0.496706499626274,0.470778451650513
Percent of Males over 16 that are Divorced,0.098869315622038,0
Percent of Population with Scotch-Irish Ancestry,0.072886257064667,0
Percent of Population Aged between 35 and 44 years,0.055703662209935,0.019021742925856
Percent of Multi-Racial Non-Hispanic Students,0.035950129624243,0
Percent of Students with High Needs,0.032259736655846,0.014911800204393
Number of Students Enrolled in Grade 5,0.02727026216426,0
Percent of Males over 16 that are Widowed,0.021846658906036,0
Percent of Population over 25 whose highest level of education is a Graduate or Professional Degree,0.016910149806826,0
School Accountability and Assistance Level,0.016859045719032,0
Percent of Males over 16 that are Married,0,0.036079337709593
Number of Students Enrolled in Grade 6,0,0.030522240188255
Percent of Students with Disabilities,0,0.018871451531582
Percent of students who are Male,0,0.017720582161882
Average Class Size,0,0.012955934211875
Number of Students Enrolled in PK,0,0.012550938378534
