0.4610561578021856,Percent of Students who are Economically Disadvantaged
0.1396601382422269,Percent of Students with High Needs
0.05378572392621456,Percent of Students who are Asian
0.01612631338229247,Percent of Students who are Hispanic
0.014744347347398695,Percent of Students who are White
0.01127259141130085,Percent of Students with Disabilities
0.01079103443056268,Number of Students Enrolled in Grade 11
0.010402963946847766,Average Salary
0.009203360230312053,Percent of Students who are African American
0.008574298390085475,Percent of students who are Male
